City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,11.07,95,78,2.75,AU,1701198289
1,carnarvon,-24.8667,113.6333,21.41,64,100,8.65,AU,1701198289
2,egilsstadir,65.2653,-14.3948,4.95,75,75,5.14,IS,1701198290
3,torbat-e heydariyeh,35.274,59.2195,11.08,63,97,2.89,IR,1701198290
4,waitangi,-43.9535,-176.5597,16.57,90,74,3.13,NZ,1701198291
5,margaret river,-33.95,115.0667,14.53,91,4,1.29,AU,1701198291
6,pundong,-7.9522,110.3486,24.97,85,80,1.3,ID,1701198291
7,vernon,50.2581,-119.2691,3.34,59,6,2.24,CA,1701198002
8,bethel,41.3712,-73.414,2.78,57,75,9.26,US,1701198209
9,adamstown,-25.066,-130.1015,23.21,86,100,7.8,PN,1701198292
10,keetmanshoop,-26.5833,18.1333,25.51,27,100,6.17,NA,1701198293
11,hasaki,35.7333,140.8333,2.22,37,0,3.31,JP,1701198293
12,kone,-21.0595,164.8658,22.05,83,100,2.02,NC,1701198293
13,port-aux-francais,-49.35,70.2167,4.96,98,100,16.77,TF,1701198294
14,ushuaia,-54.8,-68.3,14.81,36,40,8.75,AR,1701198294
15,islamkot,24.6997,70.177,21.28,37,0,3.13,PK,1701198294
16,isafjordur,66.0755,-23.124,0.6,73,100,0.67,IS,1701198295
17,papao,-17.75,-149.55,28.82,83,100,10.74,PF,1701198295
18,westport,41.1415,-73.3579,4.29,52,100,6.17,US,1701198122
19,nabire,-3.3667,135.4833,23.47,93,100,2.11,ID,1701198295
20,bredasdorp,-34.5322,20.0403,16.39,68,2,4.66,ZA,1701198296
21,ciudad bolivar,8.1222,-63.5497,30.96,53,100,4.42,VE,1701198296
22,bemidji,47.4736,-94.8803,-0.06,69,75,5.66,US,1701198296
23,afaahiti,-17.75,-149.2833,27.93,84,100,9.67,PF,1701198297
24,stanley,54.868,-1.6985,0.95,90,4,4.33,GB,1701198297
25,albany,42.6001,-73.9662,1.99,42,100,2.68,US,1701198016
26,grytviken,-54.2811,-36.5092,1.29,70,0,3.69,GS,1701198297
27,monchegorsk,67.9397,32.8739,-5.5,92,86,5.87,RU,1701198298
28,geraldton,-28.7667,114.6,18.23,77,75,0.51,AU,1701198158
29,lata,40.1629,-8.3327,16.56,95,74,1.77,PT,1701198298
30,olonkinbyen,70.9221,-8.7187,2.05,75,100,4.34,SJ,1701198298
31,freetown,8.484,-13.2299,28.84,70,75,4.12,SL,1701198299
32,les avirons,-21.2418,55.3394,22.05,69,13,2.57,RE,1701198299
33,invercargill,-46.4,168.35,8.9,78,99,4.47,NZ,1701198299
34,reggane,26.7158,0.1714,19.68,23,100,3.24,DZ,1701198299
35,tiksi,71.6872,128.8694,-16.76,90,100,8.49,RU,1701198157
36,bilibino,68.0546,166.4372,-29.26,100,100,1.03,RU,1701198300
37,atafu village,-8.5421,-172.5159,28.2,77,100,6.68,TK,1701198300
38,ghat,24.9647,10.1728,19.89,15,0,1.19,LY,1701198300
39,northam,51.0333,-4.2167,4.66,87,8,1.95,GB,1701198300
40,san antonio de pale,-1.4014,5.6325,26.85,81,20,4.56,GQ,1701198301
41,sur,22.5667,59.5289,24.38,68,0,3.94,OM,1701198301
42,kodiak,57.79,-152.4072,5.55,81,100,10.71,US,1701198042
43,aswan,24.0934,32.907,21.61,35,0,4.63,EG,1701198106
44,iqaluit,63.7506,-68.5145,-1.15,92,100,9.77,CA,1701198014
45,mount pearl,47.5166,-52.7813,8.86,96,100,18.01,CA,1701198303
46,plastun,44.7561,136.2939,-11.85,57,0,4.75,RU,1701198304
47,new norfolk,-42.7826,147.0587,11.72,96,96,1.03,AU,1701198304
48,ancud,-41.8697,-73.8203,12.33,71,31,6.67,CL,1701198305
49,myeik,12.4333,98.6,23.41,72,99,2.31,MM,1701198306
50,thompson,55.7435,-97.8558,-11.91,79,100,0.0,CA,1701198306
51,kalmunai,7.4167,81.8167,25.15,86,100,1.01,LK,1701198306
52,cabo san lucas,22.8909,-109.9124,29.78,54,0,1.54,MX,1701198175
53,springs,-26.25,28.4,23.01,72,100,1.8,ZA,1701198307
54,puerto natales,-51.7236,-72.4875,12.25,43,75,11.83,CL,1701198308
55,dudinka,69.4058,86.1778,-25.76,100,70,1.35,RU,1701198308
56,uturoa,-16.7333,-151.4333,27.0,79,59,7.94,PF,1701198309
57,edinburgh of the seven seas,-37.0676,-12.3116,14.28,81,99,8.71,SH,1701198309
58,vanino,49.0869,140.2543,-11.15,85,100,5.8,RU,1701198310
59,qaqortoq,60.7167,-46.0333,-9.17,63,100,3.35,GL,1701198310
60,salmon arm,50.6998,-119.3024,3.62,56,73,2.57,CA,1701198031
61,kerikeri,-35.2268,173.9474,16.62,92,100,1.72,NZ,1701198312
62,gulma,12.6423,4.3555,30.82,21,7,3.52,NG,1701198312
63,muravlenko,63.7898,74.523,-3.08,90,100,4.22,RU,1701198312
64,itirucu,-13.5317,-40.1503,25.97,52,93,3.69,BR,1701198313
65,east ballina,-28.8667,153.5833,19.33,93,100,2.23,AU,1701198313
66,san andres,12.5847,-81.7006,31.01,66,20,6.17,CO,1701198314
67,serdar,38.9764,56.2757,9.47,68,1,3.76,TM,1701198314
68,baikonur,45.6167,63.3167,8.52,87,100,5.56,KZ,1701198315
69,vorgashor,67.5833,63.95,-14.32,92,100,3.26,RU,1701198315
70,chibougamau,49.9168,-74.3659,-9.21,86,100,4.12,CA,1701198316
